Date;Price;Open;High;Low;Vol.;Change %
09/21/2010;3,365.04;3,371.47;3,405.85;3,342.20;10.10B;-0.18
09/20/2010;3,370.98;3,384.56;3,392.06;3,344.90;10.28B;-0.4
09/17/2010;3,384.65;3,341.44;3,390.56;3,341.44;9.27B;1.29
09/16/2010;3,341.63;3,357.13;3,358.12;3,317.80;5.09B;-0.46
09/15/2010;3,357.03;3,232.08;3,360.05;3,232.08;4.68B;3.9
09/07/2010;3,230.89;3,217.54;3,239.45;3,214.20;3.68B;0.43
09/06/2010;3,217.15;3,164.47;3,217.37;3,164.47;2.84B;1.67
09/03/2010;3,164.28;3,122.25;3,164.36;3,122.25;3.62B;1.35
09/02/2010;3,122.15;3,135.71;3,159.72;3,105.81;4.01B;-0.42
09/01/2010;3,135.32;3,081.49;3,135.54;3,081.49;3.83B;1.73
08/31/2010;3,081.88;3,098.77;3,099.75;3,058.05;3.60B;-0.57
08/30/2010;3,099.57;3,105.22;3,138.49;3,089.64;3.82B;-0.17
08/27/2010;3,104.73;3,145.04;3,145.04;3,089.69;4.82B;-1.28
08/26/2010;3,145.14;3,138.52;3,150.16;3,128.87;6.94B;0.2
08/25/2010;3,138.91;3,114.74;3,140.16;3,102.51;6.59B;0.77
08/24/2010;3,114.94;3,128.44;3,145.11;3,099.91;4.90B;-0.44
08/23/2010;3,128.73;3,117.43;3,129.66;3,107.76;5.52B;0.35
08/20/2010;3,117.72;3,103.37;3,118.65;3,084.99;4.46B;0.4
08/19/2010;3,105.35;3,072.48;3,118.37;3,072.48;5.73B;1.08
08/18/2010;3,072.09;3,053.36;3,072.83;3,045.22;3.51B;0.64
08/16/2010;3,052.60;3,052.91;3,059.04;3,032.43;2.60B;-0.01
08/13/2010;3,053.01;3,025.74;3,053.57;3,025.74;2.25B;0.9
08/12/2010;3,025.64;3,034.24;3,034.24;2,993.77;2.59B;-0.32
08/11/2010;3,035.32;3,054.64;3,061.88;3,022.50;2.88B;-0.71
08/10/2010;3,057.16;3,082.99;3,083.29;3,047.22;2.39B;-0.83
08/09/2010;3,082.60;3,057.55;3,082.78;3,056.17;2.45B;0.72
08/06/2010;3,060.59;3,045.43;3,062.68;3,031.43;2.78B;0.51
08/05/2010;3,044.94;2,983.84;3,046.87;2,983.84;3.59B;2.07
08/04/2010;2,983.25;2,973.85;3,001.12;2,959.75;3.03B;0.32
08/03/2010;2,973.66;3,059.37;3,084.17;2,965.56;4.32B;-2.79
08/02/2010;3,058.98;3,070.28;3,083.86;3,048.59;2.96B;-0.34
07/30/2010;3,069.28;3,096.72;3,104.08;3,054.10;3.36B;-0.89
07/29/2010;3,096.82;3,057.97;3,097.19;3,056.67;4.57B;1.29
07/28/2010;3,057.47;3,041.58;3,064.79;3,041.58;3.99B;0.52
07/27/2010;3,041.68;3,023.99;3,061.63;3,023.99;3.81B;0.59
07/26/2010;3,023.70;3,042.12;3,062.95;3,014.55;4.18B;-0.6
07/23/2010;3,042.02;3,010.32;3,051.36;3,010.32;5.12B;1.07
07/22/2010;3,009.92;3,013.70;3,019.01;2,997.30;4.22B;-0.12
07/21/2010;3,013.40;2,995.74;3,014.48;2,994.21;5.06B;0.6
07/20/2010;2,995.44;2,975.87;2,995.44;2,970.80;4.28B;0.67
07/19/2010;2,975.57;2,992.16;2,992.16;2,948.03;2.91B;-0.56
07/16/2010;2,992.45;2,980.48;2,992.45;2,972.27;4.34B;0.4
07/15/2010;2,980.60;2,980.06;2,987.04;2,956.89;4.53B;-0.02
